100000	105.9580204	-11.02446428
79569	105.1914419	-15.10210075
63313	104.8641093	-20.13670745
50377	104.8773601	-26.36283233
40085	105.3270659	-34.26349047
31895	106.6913779	-43.58339565
25379	108.5669157	-54.01122489
20194	110.8523368	-66.87040476
16068	113.3091046	-82.29367182
12785	115.8722998	-101.3314119
10173	118.5137928	-124.6258453
8094.6	121.6791875	-153.9620503
6440.8	125.5190612	-190.7941029
5124.9	130.9045762	-237.0354411
4077.9	138.2811245	-295.0645187
3244.7	149.1166387	-366.8625739
2581.8	165.2841446	-456.0949089
2054.3	189.1946124	-566.4285434
1634.6	223.0322147	-696.3338449
1300.6	274.5110837	-858.6044965
1034.9	349.5037492	-1052.486641
823.47	457.4882644	-1280.531346
655.23	607.757286	-1541.303773
521.36	812.8121993	-1829.902079
414.84	1081.253573	-2136.810181
330.09	1420.507381	-2445.582552
262.65	1826.692843	-2737.975021
208.99	2289.0505	-2998.289621
166.29	2781.413865	-3216.619758
132.32	3281.218813	-3397.801547
105.28	3755.758017	-3557.8574
83.772	4197.798093	-3716.511097
66.657	4601.37198	-3924.39061
52.785	4958.564412	-4205.16843
41.519	5272.455954	-4609.188413
32.431	5574.948379	-5195.086396
25.15	5866.952407	-6022.59511
19.362	6158.19571	-7177.281241
14.794	6470.483327	-8766.736081
11.22	6811.244945	-10946.98092
8.4456	7210.536148	-13904.59411
6.3107	7694.431328	-17935.16051
4.6821	8266.47567	-23434.75795
3.4505	9001.379782	-30922.50957
2.5271	9924.816252	-41244.6858
1.8408	11152.24145	-55458.80698
1.3346	12761.43781	-75051.78443
0.96412	14948.12983	-102091.4581
0.69475	18022.73955	-139147.6804
0.5	22246.34323	-190233.6487
